breadth_thresh,ema_filter,xirr,final_val,max_dd,calmar,multiple
60.0,none,26.97,25291930.69,43.43,0.62,6.61
60.0,ema_50,26.97,25291930.69,43.43,0.62,6.61
50.0,none,26.81,24990959.52,43.35,0.62,6.53
45.0,none,26.8,24973485.47,43.66,0.61,6.53
60.0,ema_21,26.79,24956535.7,43.52,0.62,6.52
40.0,none,26.78,24942718.03,43.74,0.61,6.52
60.0,ema_200,26.76,24909178.06,43.23,0.62,6.51
35.0,none,26.74,24863410.16,43.67,0.61,6.5
52.5,none,26.73,24845380.78,43.16,0.62,6.5
50.0,ema_50,26.68,24755710.59,43.33,0.62,6.47
45.0,ema_50,26.66,24717315.26,43.69,0.61,6.46
40.0,ema_50,26.65,24701952.26,43.69,0.61,6.46
52.5,ema_50,26.65,24715229.02,43.13,0.62,6.46
55.0,none,26.64,24688172.0,42.87,0.62,6.45
35.0,ema_50,26.63,24666352.2,43.69,0.61,6.45
55.0,ema_50,26.57,24557055.78,42.84,0.62,6.42
45.0,ema_21,26.54,24513177.82,43.67,0.61,6.41
40.0,ema_21,26.51,24458336.93,43.78,0.61,6.39
50.0,ema_200,26.5,24431358.05,43.17,0.61,6.39
35.0,ema_21,26.5,24435640.27,43.78,0.61,6.39
50.0,ema_21,26.47,24391037.02,43.39,0.61,6.38
45.0,ema_200,26.46,24363841.11,43.55,0.61,6.37
52.5,ema_21,26.44,24337887.7,43.21,0.61,6.36
40.0,ema_200,26.44,24334755.93,43.63,0.61,6.36
35.0,ema_200,26.42,24301263.83,43.59,0.61,6.35
52.5,ema_200,26.42,24292701.32,42.97,0.61,6.35
55.0,ema_200,26.4,24263244.76,42.77,0.62,6.34
55.0,ema_21,26.35,24180786.49,42.93,0.61,6.32
