id,proto,sizing,3tier,clenow,step,hedge_pct,xirr,profit_factor,payoff,win_rate,max_dd,final_val,score
1,ADAPTIVE_S,ERC,False,False,True,5.0,38.26,4.17,6.72,38.3,24.72,3458810.47,29.15
2,ADAPTIVE_S,ERC,False,False,True,10.0,37.51,3.77,5.99,38.7,25.09,3403259.64,27.04
3,ADAPTIVE_S,ERC,False,False,False,5.0,38.65,4.41,7.84,36.0,27.42,3487865.94,30.46
4,ADAPTIVE_S,ERC,False,False,False,10.0,38.31,4.2,7.69,35.3,28.93,3462456.31,29.35
5,ADAPTIVE_S,ERC,False,True,True,5.0,33.43,3.45,5.43,38.9,25.64,3115215.75,23.95
6,ADAPTIVE_S,ERC,False,True,True,10.0,36.13,3.57,5.76,38.3,22.4,3303639.27,26.12
7,ADAPTIVE_S,ERC,False,True,False,5.0,35.83,3.82,6.51,37.0,27.61,3281733.2,26.53
8,ADAPTIVE_S,ERC,False,True,False,10.0,35.52,3.79,6.33,37.4,26.99,3259798.26,26.28
9,ADAPTIVE_S,ERC,True,False,True,5.0,31.91,1.38,2.05,40.2,27.21,3013166.75,14.36
10,ADAPTIVE_S,ERC,True,False,True,10.0,33.07,1.52,2.39,38.9,23.0,3090501.3,16.13
11,ADAPTIVE_S,ERC,True,False,False,5.0,33.17,1.77,3.1,36.3,29.51,3097607.1,16.48
12,ADAPTIVE_S,ERC,True,False,False,10.0,29.49,1.5,2.91,34.0,27.94,2857516.4,14.29
13,ADAPTIVE_S,ERC,True,True,True,5.0,22.46,0.89,1.42,38.5,25.28,2444471.56,8.93
14,ADAPTIVE_S,ERC,True,True,True,10.0,22.48,1.06,1.68,38.6,26.36,2446047.16,9.48
15,ADAPTIVE_S,ERC,True,True,False,5.0,19.22,0.92,1.5,38.0,29.19,2273646.85,7.19
16,ADAPTIVE_S,ERC,True,True,False,10.0,19.16,0.93,1.66,36.1,28.26,2270523.81,7.46
17,ADAPTIVE_S,CONVICTION,False,False,True,5.0,40.65,3.84,5.36,41.8,28.55,3641680.02,27.52
18,ADAPTIVE_S,CONVICTION,False,False,True,10.0,40.69,4.19,6.32,39.9,24.11,3644483.84,29.97
19,ADAPTIVE_S,CONVICTION,False,False,False,5.0,38.06,4.26,6.83,38.4,29.96,3444325.1,28.63
20,ADAPTIVE_S,CONVICTION,False,False,False,10.0,37.73,4.18,6.71,38.4,29.44,3419935.85,28.25
21,ADAPTIVE_S,CONVICTION,False,True,True,5.0,31.94,2.97,4.66,38.9,24.12,3014954.12,21.56
22,ADAPTIVE_S,CONVICTION,False,True,True,10.0,26.53,2.73,4.32,38.8,23.06,2676740.63,18.58
23,ADAPTIVE_S,CONVICTION,False,True,False,5.0,33.62,3.85,6.56,37.0,27.19,3128069.95,25.84
24,ADAPTIVE_S,CONVICTION,False,True,False,10.0,31.17,3.46,6.2,35.8,26.86,2964724.73,23.47
25,ADAPTIVE_S,CONVICTION,True,False,True,5.0,29.29,1.2,2.06,36.9,28.05,2844961.75,12.65
26,ADAPTIVE_S,CONVICTION,True,False,True,10.0,31.38,1.33,2.51,34.5,27.6,2978332.74,14.28
27,ADAPTIVE_S,CONVICTION,True,False,False,5.0,27.93,1.42,2.82,33.5,24.92,2760513.85,13.81
28,ADAPTIVE_S,CONVICTION,True,False,False,10.0,29.27,1.41,2.84,33.1,30.73,2843206.43,13.46
