regime_key,regime_name,strategy_key,strategy_name,cagr,final_val,multiple,max_dd,calmar,win_rate,trades,profit_factor
ALL_HISTORY_12YR,Class 0: Full 11.75-Year All-History Supercycle,CHAMPION_SW_005479_000640,Champion Fusion: SW_005479 (Alpha) + SW_000640 (Fortress),29.0,5952315.62,19.84,28.91,1.0,27.1,490,1.02
ALL_HISTORY_12YR,Class 0: Full 11.75-Year All-History Supercycle,PURE_SW_005479,Pure SW_005479 (Alpha Champion - No Bear Sweep),22.66,3293488.52,10.98,44.01,0.51,24.1,698,0.9
ALL_HISTORY_12YR,Class 0: Full 11.75-Year All-History Supercycle,PURE_SW_000640,Pure SW_000640 (Fortress Shield - 5 Slots),12.3,1169969.7,3.9,23.9,0.51,37.9,861,0.73
ALL_HISTORY_12YR,Class 0: Full 11.75-Year All-History Supercycle,CLASSIC_8SLOT,Classic 8-Slot Diversified Swing (12.5% Slots),13.34,1303440.45,4.34,26.66,0.5,39.6,1369,0.7
ALL_HISTORY_12YR,Class 0: Full 11.75-Year All-History Supercycle,BENCHMARK_BUY_HOLD,Benchmark: Buy & Hold Market Index,11.12,1033803.58,3.45,99.92,0.11,50.0,1,1.0
BULL_2017,Class 1: 2017 Secular Bull Market,CHAMPION_SW_005479_000640,Champion Fusion: SW_005479 (Alpha) + SW_000640 (Fortress),45.99,436153.86,1.45,8.69,5.29,32.4,34,1.58
BULL_2017,Class 1: 2017 Secular Bull Market,PURE_SW_005479,Pure SW_005479 (Alpha Champion - No Bear Sweep),67.83,500639.41,1.67,9.44,7.19,37.0,46,1.64
BULL_2017,Class 1: 2017 Secular Bull Market,PURE_SW_000640,Pure SW_000640 (Fortress Shield - 5 Slots),20.6,361045.16,1.2,7.91,2.6,38.3,81,0.77
BULL_2017,Class 1: 2017 Secular Bull Market,CLASSIC_8SLOT,Classic 8-Slot Diversified Swing (12.5% Slots),33.65,399663.69,1.33,6.23,5.4,45.7,105,1.07
BULL_2017,Class 1: 2017 Secular Bull Market,BENCHMARK_BUY_HOLD,Benchmark: Buy & Hold Market Index,33.58,399479.06,1.33,7.15,4.7,50.0,1,1.0
