regime_key,regime_name,strategy_key,strategy_name,xirr,final_val,invested,multiple,max_dd,calmar
ALL_HISTORY_12YR,Class 0: Full 11.75-Year Supercycle,PURE_CENTURION,Benchmark A: Pure Centurion Wealth Engine,12.07,7429681.67,3525000.0,2.11,41.27,0.29
ALL_HISTORY_12YR,Class 0: Full 11.75-Year Supercycle,APEX_00769,Benchmark B: Pure Apex Compounder (SIP_00769),22.65,14776737.53,3525000.0,4.19,42.13,0.54
ALL_HISTORY_12YR,Class 0: Full 11.75-Year Supercycle,QM1_BREADTH_SWITCHER,Quantum 1: Market Breadth Dual-Gate Switcher,23.06,15181332.71,3525000.0,4.31,40.52,0.57
ALL_HISTORY_12YR,Class 0: Full 11.75-Year Supercycle,QM2_CAP_RATIO_SWITCHER,Quantum 2: Small/Large Cap Relative Alpha Switcher,4.67,4669100.73,3525000.0,1.32,0.0,0.0
ALL_HISTORY_12YR,Class 0: Full 11.75-Year Supercycle,QM3_4STATE_TENSOR,Quantum 3: 4-State Dynamic Macro Tensor Engine,14.5,8682009.24,3525000.0,2.46,44.11,0.33
ALL_HISTORY_12YR,Class 0: Full 11.75-Year Supercycle,QM4_HORIZON_SYNERGY,Quantum 4: Quantum Horizon Synergy (Stock-Level Fusion + Skim),17.46,10521934.9,3525000.0,2.98,42.17,0.41
ALL_HISTORY_12YR,Class 0: Full 11.75-Year Supercycle,QM5_ASYMMETRIC_RATCHET,Quantum 5: Quantum Asymmetric Ratchet Engine (Dip Buy + Skim),14.67,8781015.41,3525000.0,2.49,43.11,0.34
BULL_2017,Class 1: 2017 Secular Bull Market,PURE_CENTURION,Benchmark A: Pure Centurion Wealth Engine,56.58,384306.26,300000.0,1.28,12.57,4.5
BULL_2017,Class 1: 2017 Secular Bull Market,APEX_00769,Benchmark B: Pure Apex Compounder (SIP_00769),136.96,490217.34,300000.0,1.63,10.6,12.92
BULL_2017,Class 1: 2017 Secular Bull Market,QM1_BREADTH_SWITCHER,Quantum 1: Market Breadth Dual-Gate Switcher,125.15,475356.55,300000.0,1.58,10.61,11.8
BULL_2017,Class 1: 2017 Secular Bull Market,QM2_CAP_RATIO_SWITCHER,Quantum 2: Small/Large Cap Relative Alpha Switcher,4.57,307264.69,300000.0,1.02,0.0,0.0
BULL_2017,Class 1: 2017 Secular Bull Market,QM3_4STATE_TENSOR,Quantum 3: 4-State Dynamic Macro Tensor Engine,27.28,342050.47,300000.0,1.14,10.79,2.53
BULL_2017,Class 1: 2017 Secular Bull Market,QM4_HORIZON_SYNERGY,Quantum 4: Quantum Horizon Synergy (Stock-Level Fusion + Skim),85.87,424322.81,300000.0,1.41,12.36,6.95
BULL_2017,Class 1: 2017 Secular Bull Market,QM5_ASYMMETRIC_RATCHET,Quantum 5: Quantum Asymmetric Ratchet Engine (Dip Buy + Skim),14.72,323065.91,300000.0,1.08,10.81,1.36
CRASH_2018,Class 2: 2018 Small/Mid-Cap Carnage,PURE_CENTURION,Benchmark A: Pure Centurion Wealth Engine,20.68,332502.95,300000.0,1.11,12.14,1.7
CRASH_2018,Class 2: 2018 Small/Mid-Cap Carnage,APEX_00769,Benchmark B: Pure Apex Compounder (SIP_00769),-15.78,273792.87,300000.0,0.91,16.06,-0.98
CRASH_2018,Class 2: 2018 Small/Mid-Cap Carnage,QM1_BREADTH_SWITCHER,Quantum 1: Market Breadth Dual-Gate Switcher,-13.9,276980.84,300000.0,0.92,15.49,-0.9
CRASH_2018,Class 2: 2018 Small/Mid-Cap Carnage,QM2_CAP_RATIO_SWITCHER,Quantum 2: Small/Large Cap Relative Alpha Switcher,4.44,307136.87,300000.0,1.02,0.0,0.0
CRASH_2018,Class 2: 2018 Small/Mid-Cap Carnage,QM3_4STATE_TENSOR,Quantum 3: 4-State Dynamic Macro Tensor Engine,-54.71,136176.42,300000.0,0.45,17.14,-3.19
CRASH_2018,Class 2: 2018 Small/Mid-Cap Carnage,QM4_HORIZON_SYNERGY,Quantum 4: Quantum Horizon Synergy (Stock-Level Fusion + Skim),-40.77,228756.73,300000.0,0.76,13.22,-3.08
CRASH_2018,Class 2: 2018 Small/Mid-Cap Carnage,QM5_ASYMMETRIC_RATCHET,Quantum 5: Quantum Asymmetric Ratchet Engine (Dip Buy + Skim),-64.83,178602.47,300000.0,0.6,17.58,-3.69
COVID_CRASH_2020,Class 3: 2020 Covid Crash & Recovery,PURE_CENTURION,Benchmark A: Pure Centurion Wealth Engine,35.29,354543.89,300000.0,1.18,36.17,0.98
COVID_CRASH_2020,Class 3: 2020 Covid Crash & Recovery,APEX_00769,Benchmark B: Pure Apex Compounder (SIP_00769),225.03,600317.73,300000.0,2.0,27.25,8.26
COVID_CRASH_2020,Class 3: 2020 Covid Crash & Recovery,QM1_BREADTH_SWITCHER,Quantum 1: Market Breadth Dual-Gate Switcher,249.41,628692.02,300000.0,2.1,15.92,15.67
COVID_CRASH_2020,Class 3: 2020 Covid Crash & Recovery,QM2_CAP_RATIO_SWITCHER,Quantum 2: Small/Large Cap Relative Alpha Switcher,4.74,307627.17,300000.0,1.03,0.0,0.0
COVID_CRASH_2020,Class 3: 2020 Covid Crash & Recovery,QM3_4STATE_TENSOR,Quantum 3: 4-State Dynamic Macro Tensor Engine,38.5,359283.36,300000.0,1.2,26.16,1.47
COVID_CRASH_2020,Class 3: 2020 Covid Crash & Recovery,QM4_HORIZON_SYNERGY,Quantum 4: Quantum Horizon Synergy (Stock-Level Fusion + Skim),85.27,425221.38,300000.0,1.42,26.85,3.18
COVID_CRASH_2020,Class 3: 2020 Covid Crash & Recovery,QM5_ASYMMETRIC_RATCHET,Quantum 5: Quantum Asymmetric Ratchet Engine (Dip Buy + Skim),45.53,369551.43,300000.0,1.23,25.08,1.82
SUPERBULL_2021,Class 4: 2021 Super-Bull,PURE_CENTURION,Benchmark A: Pure Centurion Wealth Engine,45.39,369382.36,300000.0,1.23,15.29,2.97
SUPERBULL_2021,Class 4: 2021 Super-Bull,APEX_00769,Benchmark B: Pure Apex Compounder (SIP_00769),93.97,436981.02,300000.0,1.46,9.58,9.81
SUPERBULL_2021,Class 4: 2021 Super-Bull,QM1_BREADTH_SWITCHER,Quantum 1: Market Breadth Dual-Gate Switcher,93.11,435834.11,300000.0,1.45,9.58,9.72
