id,name,asset_mode,filter,basket_size,exit_protocol,booster,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_dd
SIP_00769,SIP_00769: PURE_STOCK | MOM_HURDLE_4 | 3Stk | DYNAMIC_AT | STEPUP_20_,PURE_STOCKS,MOM_HURDLE_40,3,DYNAMIC_ATR,STEPUP_20_PYRAMID,24.18,56.14,38.39,39.74,16.36,18.81,37.9,-13.9,6.35,14.5,13.35,2.93,7.04
SIP_00470,SIP_00470: PURE_STOCK | MOM_HURDLE_2 | 6Stk | DYNAMIC_AT | STEPUP_10_,PURE_STOCKS,MOM_HURDLE_25,6,DYNAMIC_ATR,STEPUP_10_LIQUID_SWEEP,23.85,42.83,25.08,29.96,24.65,27.1,58.69,-16.72,3.53,14.5,18.43,2.61,13.46
SIP_01220,SIP_01220: PURE_STOCK | SECTOR_LEAD_ | 6Stk | DYNAMIC_AT | STEPUP_10_,PURE_STOCKS,SECTOR_LEAD_ALPHA,6,DYNAMIC_ATR,STEPUP_10_LIQUID_SWEEP,23.71,42.62,24.87,29.83,24.27,26.72,57.71,-16.3,3.95,14.5,18.43,2.61,13.46
SIP_00466,SIP_00466: PURE_STOCK | MOM_HURDLE_2 | 6Stk | DYNAMIC_AT | FLAT_SIP_N,PURE_STOCKS,MOM_HURDLE_25,6,DYNAMIC_ATR,FLAT_SIP_NO_DIP,23.49,44.27,26.52,29.57,24.45,26.9,58.16,-17.34,2.91,14.5,17.59,2.61,14.65
SIP_00468,SIP_00468: PURE_STOCK | MOM_HURDLE_2 | 6Stk | DYNAMIC_AT | STEPUP_15_,PURE_STOCKS,MOM_HURDLE_25,6,DYNAMIC_ATR,STEPUP_15_DIP_95_SKIM,23.48,41.75,24.0,29.9,23.89,26.34,56.74,-17.34,2.91,14.5,17.66,2.61,12.88
SIP_01216,SIP_01216: PURE_STOCK | SECTOR_LEAD_ | 6Stk | DYNAMIC_AT | FLAT_SIP_N,PURE_STOCKS,SECTOR_LEAD_ALPHA,6,DYNAMIC_ATR,FLAT_SIP_NO_DIP,23.36,44.07,26.33,29.45,24.07,26.52,57.2,-16.97,3.28,14.5,17.59,2.61,14.65
SIP_01218,SIP_01218: PURE_STOCK | SECTOR_LEAD_ | 6Stk | DYNAMIC_AT | STEPUP_15_,PURE_STOCKS,SECTOR_LEAD_ALPHA,6,DYNAMIC_ATR,STEPUP_15_DIP_95_SKIM,23.34,41.55,23.8,29.77,23.51,25.96,55.76,-16.97,3.28,14.5,17.66,2.61,12.88
SIP_00467,SIP_00467: PURE_STOCK | MOM_HURDLE_2 | 6Stk | DYNAMIC_AT | STEPUP_10_,PURE_STOCKS,MOM_HURDLE_25,6,DYNAMIC_ATR,STEPUP_10_DIP_95,23.25,41.74,23.99,29.28,23.89,26.34,56.74,-17.34,2.91,14.5,17.59,2.61,13.47
SIP_08269,SIP_08269: ASYMMETRIC | MOM_HURDLE_4 | 3Stk | DYNAMIC_AT | STEPUP_20_,ASYMMETRIC_ALPHA_95_5,MOM_HURDLE_40,3,DYNAMIC_ATR,STEPUP_20_PYRAMID,23.21,53.04,35.3,37.81,15.18,17.63,35.03,-13.9,6.35,14.5,13.34,2.93,6.99
SIP_01217,SIP_01217: PURE_STOCK | SECTOR_LEAD_ | 6Stk | DYNAMIC_AT | STEPUP_10_,PURE_STOCKS,SECTOR_LEAD_ALPHA,6,DYNAMIC_ATR,STEPUP_10_DIP_95,23.11,41.54,23.79,29.15,23.51,25.96,55.76,-16.97,3.28,14.5,17.59,2.61,13.47
SIP_07970,SIP_07970: ASYMMETRIC | MOM_HURDLE_2 | 6Stk | DYNAMIC_AT | STEPUP_10_,ASYMMETRIC_ALPHA_95_5,MOM_HURDLE_25,6,DYNAMIC_ATR,STEPUP_10_LIQUID_SWEEP,22.7,39.14,21.39,27.62,23.38,25.83,55.45,-16.72,3.53,14.5,18.36,2.61,13.38
