id,name,asset_mode,filter,basket_size,exit_protocol,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_dd
SIP_0194,SIP_0194: PURE_STOCKS | SECTOR_LEAD_AL | 6Stk | DYNAMIC_ATR,PURE_STOCKS,SECTOR_LEAD_ALPHA,6,DYNAMIC_ATR,23.34,44.07,26.33,29.4,24.07,26.52,57.2,-16.97,3.28,14.5,17.59,2.61,14.6
SIP_0199,SIP_0199: PURE_STOCKS | SECTOR_LEAD_AL | 8Stk | DYNAMIC_ATR,PURE_STOCKS,SECTOR_LEAD_ALPHA,8,DYNAMIC_ATR,22.03,43.86,26.11,29.3,17.86,20.31,41.6,-17.51,2.74,14.5,18.97,2.45,13.7
SIP_0069,SIP_0069: PURE_STOCKS | MOM_HURDLE_20 | 6Stk | DYNAMIC_ATR,PURE_STOCKS,MOM_HURDLE_20,6,DYNAMIC_ATR,20.87,30.45,12.7,21.0,25.97,28.42,62.1,-17.0,3.25,14.5,17.59,2.55,13.3
SIP_0189,SIP_0189: PURE_STOCKS | SECTOR_LEAD_AL | 5Stk | DYNAMIC_ATR,PURE_STOCKS,SECTOR_LEAD_ALPHA,5,DYNAMIC_ATR,20.3,41.65,23.91,28.0,14.83,17.28,34.2,-17.93,2.32,14.5,16.38,2.62,16.0
SIP_0394,SIP_0394: TACTICAL_MA | SECTOR_LEAD_AL | 6Stk | DYNAMIC_ATR,TACTICAL_MACRO_90_10,SECTOR_LEAD_ALPHA,6,DYNAMIC_ATR,19.95,32.83,15.08,22.5,20.34,22.79,47.8,-16.97,3.28,14.5,17.38,2.61,14.4
SIP_0994,SIP_0994: MULTI_ASSET | SECTOR_LEAD_AL | 6Stk | DYNAMIC_ATR,MULTI_ASSET_BALANCED,SECTOR_LEAD_ALPHA,6,DYNAMIC_ATR,18.83,29.41,11.66,20.4,18.88,21.33,44.1,-16.97,3.28,14.5,17.31,2.61,14.3
SIP_0794,SIP_0794: MOMENTUM_RO | SECTOR_LEAD_AL | 6Stk | DYNAMIC_ATR,MOMENTUM_ROTATE_DYNAMIC,SECTOR_LEAD_ALPHA,6,DYNAMIC_ATR,18.83,29.41,11.66,20.4,18.88,21.33,44.1,-16.97,3.28,14.5,17.31,2.61,14.3
SIP_0594,SIP_0594: TACTICAL_MA | SECTOR_LEAD_AL | 6Stk | DYNAMIC_ATR,TACTICAL_MACRO_80_20,SECTOR_LEAD_ALPHA,6,DYNAMIC_ATR,18.83,29.41,11.66,20.4,18.88,21.33,44.1,-16.97,3.28,14.5,17.31,2.61,14.3
SIP_0064,SIP_0064: PURE_STOCKS | MOM_HURDLE_20 | 5Stk | DYNAMIC_ATR,PURE_STOCKS,MOM_HURDLE_20,5,DYNAMIC_ATR,18.78,32.98,15.23,22.6,16.33,18.77,37.8,-17.59,2.66,14.5,16.38,2.47,14.0
SIP_0399,SIP_0399: TACTICAL_MA | SECTOR_LEAD_AL | 8Stk | DYNAMIC_ATR,TACTICAL_MACRO_90_10,SECTOR_LEAD_ALPHA,8,DYNAMIC_ATR,18.75,32.59,14.85,22.4,14.6,17.05,33.6,-17.51,2.74,14.5,18.76,2.45,13.5
SIP_0078,SIP_0078: PURE_STOCKS | MOM_HURDLE_30 | 3Stk | ADAPTIVE_STR,PURE_STOCKS,MOM_HURDLE_30,3,ADAPTIVE_STRUCTURAL,18.71,36.1,18.36,24.6,12.54,14.99,28.7,-17.66,2.59,14.5,17.28,1.99,8.3
