id,name,asset_mode,filter,basket_size,exit_protocol,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_pf,full_dd
SIP_022,SIP_022: PURE_STOCKS | CLENOW_MOMENTU | 4Stk | VAN_THARP_3T,PURE_STOCKS,CLENOW_MOMENTUM,4,VAN_THARP_3TIER,28.02,56.3,49.0,35.1,28.25,35.68,54.4,-19.58,-10.75,14.5,19.58,1.57,0.29,15.1
SIP_026,SIP_026: PURE_STOCKS | CLENOW_MOMENTU | 5Stk | VAN_THARP_3T,PURE_STOCKS,CLENOW_MOMENTUM,5,VAN_THARP_3TIER,27.51,45.6,38.3,29.1,35.98,43.41,70.3,-20.95,-12.12,14.5,17.88,1.78,0.37,16.5
SIP_058,SIP_058: PURE_STOCKS | MOM_HURDLE_20 | 5Stk | VAN_THARP_3T,PURE_STOCKS,MOM_HURDLE_20,5,VAN_THARP_3TIER,27.44,44.46,37.16,28.4,35.98,43.41,70.3,-16.17,-7.34,14.5,18.75,2.2,0.43,15.5
SIP_043,SIP_043: PURE_STOCKS | MOM_HURDLE_30 | 5Stk | SMART_STEPLA,PURE_STOCKS,MOM_HURDLE_30,5,SMART_STEPLADDER,27.13,47.28,39.98,30.1,32.72,40.15,63.6,-17.51,-8.69,14.5,18.31,0.96,0.12,12.6
SIP_027,SIP_027: PURE_STOCKS | CLENOW_MOMENTU | 5Stk | SMART_STEPLA,PURE_STOCKS,CLENOW_MOMENTUM,5,SMART_STEPLADDER,26.93,50.33,43.03,31.8,29.78,37.21,57.5,-20.95,-12.12,14.5,17.99,0.95,0.12,14.9
SIP_042,SIP_042: PURE_STOCKS | MOM_HURDLE_30 | 5Stk | VAN_THARP_3T,PURE_STOCKS,MOM_HURDLE_30,5,VAN_THARP_3TIER,26.88,45.99,38.69,29.3,32.72,40.15,63.6,-17.51,-8.69,14.5,18.44,1.8,0.31,13.8
SIP_030,SIP_030: PURE_STOCKS | CLENOW_MOMENTU | 6Stk | VAN_THARP_3T,PURE_STOCKS,CLENOW_MOMENTUM,6,VAN_THARP_3TIER,26.34,41.26,33.96,26.6,36.75,44.18,72.0,-19.49,-10.66,14.5,15.42,2.12,0.35,14.6
SIP_031,SIP_031: PURE_STOCKS | CLENOW_MOMENTU | 6Stk | SMART_STEPLA,PURE_STOCKS,CLENOW_MOMENTUM,6,SMART_STEPLADDER,26.11,48.25,40.95,30.6,30.32,37.75,58.7,-19.49,-10.66,14.5,15.31,1.17,0.11,13.5
SIP_025,SIP_025: PURE_STOCKS | CLENOW_MOMENTU | 5Stk | ADAPTIVE_STR,PURE_STOCKS,CLENOW_MOMENTUM,5,ADAPTIVE_STRUCTURAL,26.01,45.14,37.84,28.8,29.43,36.86,56.8,-20.94,-12.12,14.5,19.05,0.0,0.0,14.0
SIP_028,SIP_028: PURE_STOCKS | CLENOW_MOMENTU | 5Stk | DYNAMIC_ATR,PURE_STOCKS,CLENOW_MOMENTUM,5,DYNAMIC_ATR,25.5,43.21,35.91,27.7,29.78,37.21,57.5,-20.95,-12.12,14.5,17.99,0.0,0.0,14.4
SIP_041,SIP_041: PURE_STOCKS | MOM_HURDLE_30 | 5Stk | ADAPTIVE_STR,PURE_STOCKS,MOM_HURDLE_30,5,ADAPTIVE_STRUCTURAL,24.87,40.69,33.39,26.3,28.08,35.51,54.1,-16.83,-8.0,14.5,19.42,0.0,0.0,12.4
