id,name,entry_mode,slots,pyramid,exit_mode,defense_mode,composite_score,worst_bear_ret,worst_bear_xirr,worst_bear_pr,chop_ret,chop_xirr,chop_pr,bull_ret,avg_ret,cycle_ret,cycle_alpha,cycle_xirr,cycle_pr,cycle_pf,cycle_dd,cycle_wr
SW_00160,SW_00160: MULTI_LOOK | 3Sl | AGGRESSI | SUPER_RUNN | COMPREHE,MULTI_LOOKBACK,3,AGGRESSIVE_75,SUPER_RUNNER_15X,COMPREHENSIVE_FORTRESS,194.63,-7.54,-14.61,0.4,59.06,669.9,1.06,63.72,59.75,78.87,85.43,78.87,0.83,1.88,17.48,70.4
SW_00158,SW_00158: MULTI_LOOK | 3Sl | AGGRESSI | SUPER_RUNN | REGIME_S,MULTI_LOOKBACK,3,AGGRESSIVE_75,SUPER_RUNNER_15X,REGIME_SHIELD_AND_SWEEP,194.63,-7.54,-14.61,0.4,59.06,669.9,1.06,63.72,59.75,78.87,85.43,78.87,0.83,1.88,17.48,70.4
SW_00157,SW_00157: MULTI_LOOK | 3Sl | AGGRESSI | SUPER_RUNN | REGIME_S,MULTI_LOOKBACK,3,AGGRESSIVE_75,SUPER_RUNNER_15X,REGIME_SHIELD_50,194.21,-4.82,-9.49,0.4,58.67,661.63,1.06,60.11,58.74,85.11,91.67,85.11,0.85,2.02,17.65,71.1
SW_00078,SW_00078: MULTI_LOOK | 3Sl | CONSERVA | SUPER_RUNN | REGIME_S,MULTI_LOOKBACK,3,CONSERVATIVE_25,SUPER_RUNNER_15X,REGIME_SHIELD_AND_SWEEP,176.04,-1.49,-2.97,0.49,55.56,598.0,0.8,59.15,46.73,66.28,72.85,66.28,0.8,1.88,21.85,68.5
SW_00080,SW_00080: MULTI_LOOK | 3Sl | CONSERVA | SUPER_RUNN | COMPREHE,MULTI_LOOKBACK,3,CONSERVATIVE_25,SUPER_RUNNER_15X,COMPREHENSIVE_FORTRESS,176.04,-1.49,-2.97,0.49,55.56,598.0,0.8,59.15,46.73,66.28,72.85,66.28,0.8,1.88,21.85,68.5
SW_00077,SW_00077: MULTI_LOOK | 3Sl | CONSERVA | SUPER_RUNN | REGIME_S,MULTI_LOOKBACK,3,CONSERVATIVE_25,SUPER_RUNNER_15X,REGIME_SHIELD_50,172.88,-2.38,-4.73,0.49,55.14,589.76,0.8,57.58,45.69,65.25,71.82,65.25,0.8,1.88,22.51,68.5
SW_00076,SW_00076: MULTI_LOOK | 3Sl | CONSERVA | SUPER_RUNN | RAW_EXEC,MULTI_LOOKBACK,3,CONSERVATIVE_25,SUPER_RUNNER_15X,RAW_EXECUTION,156.76,-27.76,-48.09,0.39,54.29,573.25,0.78,57.58,47.66,70.71,77.27,70.71,0.71,1.79,25.6,70.7
SW_00079,SW_00079: MULTI_LOOK | 3Sl | CONSERVA | SUPER_RUNN | TIME_DEC,MULTI_LOOKBACK,3,CONSERVATIVE_25,SUPER_RUNNER_15X,TIME_DECAY_STOP_7D,156.76,-27.76,-48.09,0.39,54.29,573.25,0.78,57.58,47.66,70.71,77.27,70.71,0.71,1.79,25.6,70.7
SW_00068,SW_00068: MULTI_LOOK | 3Sl | CONSERVA | CHANDELIER | REGIME_S,MULTI_LOOKBACK,3,CONSERVATIVE_25,CHANDELIER_RUNNER,REGIME_SHIELD_AND_SWEEP,153.2,-5.73,-11.21,0.53,50.14,497.25,1.01,83.83,45.75,66.17,72.74,66.17,0.99,1.75,17.14,61.7
SW_00070,SW_00070: MULTI_LOOK | 3Sl | CONSERVA | CHANDELIER | COMPREHE,MULTI_LOOKBACK,3,CONSERVATIVE_25,CHANDELIER_RUNNER,COMPREHENSIVE_FORTRESS,153.2,-5.73,-11.21,0.53,50.14,497.25,1.01,83.83,45.75,66.17,72.74,66.17,0.99,1.75,17.14,61.7
SW_00067,SW_00067: MULTI_LOOK | 3Sl | CONSERVA | CHANDELIER | REGIME_S,MULTI_LOOKBACK,3,CONSERVATIVE_25,CHANDELIER_RUNNER,REGIME_SHIELD_50,150.39,-6.62,-12.9,0.52,49.76,490.61,1.01,82.02,44.82,64.9,71.47,64.9,0.99,1.75,17.22,61.7
SW_00159,SW_00159: MULTI_LOOK | 3Sl | AGGRESSI | SUPER_RUNN | TIME_DEC,MULTI_LOOKBACK,3,AGGRESSIVE_75,SUPER_RUNNER_15X,TIME_DECAY_STOP_7D,149.26,-24.32,-42.99,0.43,52.4,537.89,0.87,60.11,58.74,58.72,65.28,58.72,0.78,1.64,27.4,66.7
SW_00156,SW_00156: MULTI_LOOK | 3Sl | AGGRESSI | SUPER_RUNN | RAW_EXEC,MULTI_LOOKBACK,3,AGGRESSIVE_75,SUPER_RUNNER_15X,RAW_EXECUTION,149.26,-24.32,-42.99,0.43,52.4,537.89,0.87,60.11,58.74,58.72,65.28,58.72,0.78,1.64,27.4,66.7
