id,name,entry_mode,slots,pyramid,exit_mode,composite_score,worst_bear_ret,worst_bear_xirr,worst_bear_pr,chop_ret,chop_xirr,chop_pr,bull_ret,cycle_ret,cycle_alpha,cycle_xirr,cycle_pr,cycle_pf,cycle_dd,cycle_wr
SW_0008,SW_0008: MULTI_LOOKBAC | 3Slots | CONSERVATI | ASYMMETRIC_R,MULTI_LOOKBACK,3,CONSERVATIVE_25,ASYMMETRIC_RUNNER,101.4,-32.74,14.5,0.54,37.18,301.5,0.97,44.21,53.53,60.09,53.5,0.85,1.46,19.6,62.6
SW_0010,SW_0010: MULTI_LOOKBAC | 3Slots | CONSERVATI | CHANDELIER_R,MULTI_LOOKBACK,3,CONSERVATIVE_25,CHANDELIER_RUNNER,99.45,-22.15,-39.6,0.48,39.73,335.5,0.97,61.15,68.56,75.12,68.6,0.88,1.66,22.3,64.1
SW_0110,SW_0110: MULTI_LOOKBAC | 3Slots | CONSERVATI | CHANDELIER_R,MULTI_LOOKBACK_HYPER,3,CONSERVATIVE_25,CHANDELIER_RUNNER,95.56,-14.79,-27.6,0.44,36.37,291.2,0.9,75.8,71.41,77.97,71.4,0.94,1.73,20.3,64.8
SW_0150,SW_0150: MULTI_LOOKBAC | 5Slots | CONSERVATI | CHANDELIER_R,MULTI_LOOKBACK_HYPER,5,CONSERVATIVE_25,CHANDELIER_RUNNER,95.34,-8.01,-15.5,0.55,35.53,280.8,0.8,94.91,44.23,50.79,44.2,0.87,1.49,21.9,64.3
SW_0030,SW_0030: MULTI_LOOKBAC | 4Slots | CONSERVATI | CHANDELIER_R,MULTI_LOOKBACK,4,CONSERVATIVE_25,CHANDELIER_RUNNER,91.09,-16.88,-31.1,0.42,35.29,277.8,0.85,100.24,44.41,50.97,44.4,0.84,1.37,25.1,62.8
SW_0007,SW_0007: MULTI_LOOKBAC | 3Slots | CONSERVATI | THREE_TIER_W,MULTI_LOOKBACK,3,CONSERVATIVE_25,THREE_TIER_WIDE,89.17,-32.62,14.5,0.59,33.07,251.3,0.82,47.11,46.74,53.3,46.7,0.83,1.35,21.4,61.0
SW_0117,SW_0117: MULTI_LOOKBAC | 3Slots | AGGRESSIVE | THREE_TIER_W,MULTI_LOOKBACK_HYPER,3,AGGRESSIVE_75,THREE_TIER_WIDE,87.96,-19.05,-34.7,0.42,35.21,276.8,1.1,59.19,82.12,88.68,82.1,1.06,1.81,18.7,61.6
SW_0155,SW_0155: MULTI_LOOKBAC | 5Slots | LIVERMORE_ | CHANDELIER_R,MULTI_LOOKBACK_HYPER,5,LIVERMORE_50,CHANDELIER_RUNNER,87.79,-8.97,-17.3,0.56,31.76,236.3,0.98,106.9,57.78,64.34,57.8,1.02,1.7,19.9,62.7
SW_0605,SW_0605: SECTOR_LEAD_R | 3Slots | NONE | CHANDELIER_R,SECTOR_LEAD_RS,3,NONE,CHANDELIER_RUNNER,86.66,-25.3,-44.5,0.75,36.59,294.0,1.24,69.0,55.87,62.43,55.9,0.88,1.82,19.8,67.4
SW_0037,SW_0037: MULTI_LOOKBAC | 4Slots | AGGRESSIVE | THREE_TIER_W,MULTI_LOOKBACK,4,AGGRESSIVE_75,THREE_TIER_WIDE,85.13,-12.74,-24.0,0.63,34.6,269.4,0.93,68.66,56.61,63.18,56.6,0.96,1.57,17.7,62.9
SW_0012,SW_0012: MULTI_LOOKBAC | 3Slots | LIVERMORE_ | THREE_TIER_W,MULTI_LOOKBACK,3,LIVERMORE_50,THREE_TIER_WIDE,83.82,-20.57,-37.1,0.53,36.89,297.9,0.99,34.23,58.06,64.62,58.1,0.87,1.5,17.6,62.6
