id,name,entry_mode,slots,pyramid,exit_mode,composite_score,worst_bear_ret,worst_bear_xirr,worst_bear_pr,chop_ret,chop_xirr,chop_pr,bull_ret,cycle_ret,cycle_alpha,cycle_xirr,cycle_pr,cycle_pf,cycle_dd,cycle_wr
SW_004,SW_004: MULTI_LOOKBACK | 4Slots | NONE | ASYMMETRIC_2,MULTI_LOOKBACK,4,NONE,ASYMMETRIC_2.0,74.87,-23.51,-42.3,0.64,36.25,289.8,1.02,34.72,30.48,37.91,30.5,0.85,1.29,27.5,59.5
SW_011,SW_011: MULTI_LOOKBACK | 4Slots | AGGRESSIVE | THREE_TIER_S,MULTI_LOOKBACK,4,AGGRESSIVE_75,THREE_TIER_SCALE,58.9,-16.05,-30.1,0.62,26.89,185.0,1.0,68.31,20.29,27.72,20.3,0.79,1.21,20.6,61.0
SW_009,SW_009: MULTI_LOOKBACK | 4Slots | LIVERMORE_ | ASYMMETRIC_2,MULTI_LOOKBACK,4,LIVERMORE_50,ASYMMETRIC_2.0,58.31,-12.98,-24.8,0.63,29.98,216.8,1.05,23.89,25.26,32.69,25.3,0.89,1.31,17.4,60.2
SW_001,SW_001: MULTI_LOOKBACK | 4Slots | NONE | THREE_TIER_S,MULTI_LOOKBACK,4,NONE,THREE_TIER_SCALE,49.1,-21.92,-39.8,0.68,27.18,187.9,0.91,42.9,15.92,23.35,15.9,0.81,1.11,30.4,57.2
SW_003,SW_003: MULTI_LOOKBACK | 4Slots | NONE | SYMMETRIC_1.,MULTI_LOOKBACK,4,NONE,SYMMETRIC_1.5,47.49,-21.66,-39.4,0.71,26.35,179.7,0.83,43.74,23.58,31.01,23.6,0.76,1.18,24.7,61.2
SW_019,SW_019: MULTI_LOOKBACK | 6Slots | NONE | ASYMMETRIC_2,MULTI_LOOKBACK,6,NONE,ASYMMETRIC_2.0,47.41,-22.91,-41.4,0.7,26.32,179.4,0.9,46.39,20.26,27.7,20.3,0.83,1.19,23.9,59.6
SW_007,SW_007: MULTI_LOOKBACK | 4Slots | LIVERMORE_ | REGIME_ADAPT,MULTI_LOOKBACK,4,LIVERMORE_50,REGIME_ADAPTIVE,47.17,-13.56,-25.8,0.61,25.22,168.9,0.87,29.93,26.24,33.67,26.2,0.75,1.31,18.9,64.0
SW_005,SW_005: MULTI_LOOKBACK | 4Slots | NONE | CHANDELIER_R,MULTI_LOOKBACK,4,NONE,CHANDELIER_RUNNER,47.12,-24.41,-43.7,0.69,25.97,176.0,0.9,44.41,27.85,35.29,27.9,0.77,1.24,21.7,61.1
SW_018,SW_018: MULTI_LOOKBACK | 6Slots | NONE | SYMMETRIC_1.,MULTI_LOOKBACK,6,NONE,SYMMETRIC_1.5,44.1,-22.73,-41.1,0.71,24.5,162.1,0.89,46.28,29.49,36.93,29.5,0.8,1.25,21.9,60.9
SW_024,SW_024: MULTI_LOOKBACK | 6Slots | LIVERMORE_ | ASYMMETRIC_2,MULTI_LOOKBACK,6,LIVERMORE_50,ASYMMETRIC_2.0,43.54,-14.19,-26.9,0.57,22.16,141.2,0.82,51.93,17.33,24.76,17.3,0.85,1.22,20.9,59.0
SW_002,SW_002: MULTI_LOOKBACK | 4Slots | NONE | REGIME_ADAPT,MULTI_LOOKBACK,4,NONE,REGIME_ADAPTIVE,42.49,-25.78,-45.7,0.72,24.91,165.9,0.88,37.5,25.67,33.1,25.7,0.77,1.21,20.6,61.0
SW_014,SW_014: MULTI_LOOKBACK | 4Slots | AGGRESSIVE | ASYMMETRIC_2,MULTI_LOOKBACK,4,AGGRESSIVE_75,ASYMMETRIC_2.0,39.41,-18.15,-33.7,0.62,23.31,151.3,0.87,30.74,19.14,26.58,19.1,0.79,1.24,15.3,61.8
SW_006,SW_006: MULTI_LOOKBACK | 4Slots | LIVERMORE_ | THREE_TIER_S,MULTI_LOOKBACK,4,LIVERMORE_50,THREE_TIER_SCALE,39.22,-18.14,-33.7,0.69,21.36,134.3,0.82,57.46,5.91,13.34,5.9,0.8,1.01,21.4,57.4
SW_029,SW_029: MULTI_LOOKBACK | 6Slots | AGGRESSIVE | ASYMMETRIC_2,MULTI_LOOKBACK,6,AGGRESSIVE_75,ASYMMETRIC_2.0,37.88,-13.77,-26.2,0.6,20.44,126.6,0.77,41.04,19.69,27.12,19.7,0.8,1.27,14.2,62.1
SW_044,SW_044: MULTI_LOOKBACK | 8Slots | AGGRESSIVE | ASYMMETRIC_2,MULTI_LOOKBACK,8,AGGRESSIVE_75,ASYMMETRIC_2.0,37.88,-16.31,-30.6,0.67,19.07,115.5,0.97,53.5,32.46,39.89,32.5,0.83,1.35,21.4,62.0
SW_026,SW_026: MULTI_LOOKBACK | 6Slots | AGGRESSIVE | THREE_TIER_S,MULTI_LOOKBACK,6,AGGRESSIVE_75,THREE_TIER_SCALE,37.72,-16.67,-31.2,0.61,19.17,116.2,0.72,68.72,7.77,15.2,7.8,0.71,1.06,20.9,59.8
SW_017,SW_017: MULTI_LOOKBACK | 6Slots | NONE | REGIME_ADAPT,MULTI_LOOKBACK,6,NONE,REGIME_ADAPTIVE,37.16,-23.85,-42.8,0.73,22.52,144.3,0.84,42.65,18.92,26.35,18.9,0.77,1.17,22.4,60.9
