id,name,composite_score,cycle_xirr,cycle_alpha,cycle_ret,worst_bear_xirr,chop_xirr,bull_ret,avg_ret,cycle_pf,cycle_pr,cycle_dd,cycle_wr,entry_mode,max_slots,pyramid_mode,sl_profile,exit_mode,defense_mode
SW_005001,SW_005001: MULTI_LO | 3Sl | NONE | DYNAMI | SCALPER_ | RAW_EX,35.25,52.76,59.32,52.76,-48.3,66.29,39.59,42.18,1.36,0.75,26.08,63.9,MULTI_LOOKBACK_HYPER,3,NONE,DYNAMIC_ATR_1_5,SCALPER_TIGHT,RAW_EXECUTION
SW_005002,SW_005002: MULTI_LO | 3Sl | NONE | DYNAMI | SCALPER_ | REGIME,32.01,31.54,38.11,31.54,-43.32,68.89,39.59,41.66,1.21,0.72,28.59,64.1,MULTI_LOOKBACK_HYPER,3,NONE,DYNAMIC_ATR_1_5,SCALPER_TIGHT,REGIME_SHIELD_50
SW_005003,SW_005003: MULTI_LO | 3Sl | NONE | DYNAMI | SCALPER_ | REGIME,33.46,33.07,39.63,33.07,-41.88,71.76,39.63,41.71,1.21,0.72,28.31,64.1,MULTI_LOOKBACK_HYPER,3,NONE,DYNAMIC_ATR_1_5,SCALPER_TIGHT,REGIME_SHIELD_AND_SWEEP
SW_005004,SW_005004: MULTI_LO | 3Sl | NONE | DYNAMI | SCALPER_ | TIME_D,53.98,49.98,56.55,49.98,14.5,66.29,40.54,42.18,1.35,0.75,25.0,63.4,MULTI_LOOKBACK_HYPER,3,NONE,DYNAMIC_ATR_1_5,SCALPER_TIGHT,TIME_DECAY_STOP_7D
SW_005005,SW_005005: MULTI_LO | 3Sl | NONE | DYNAMI | SCALPER_ | COMPRE,36.84,31.4,37.96,31.4,-31.67,71.76,40.6,41.71,1.21,0.77,27.67,62.6,MULTI_LOOKBACK_HYPER,3,NONE,DYNAMIC_ATR_1_5,SCALPER_TIGHT,COMPREHENSIVE_FORTRESS
SW_005006,SW_005006: MULTI_LO | 3Sl | NONE | DYNAMI | THREE_TI | RAW_EX,67.42,73.46,80.03,73.46,-39.09,154.58,45.84,48.32,1.6,0.84,28.5,64.4,MULTI_LOOKBACK_HYPER,3,NONE,DYNAMIC_ATR_1_5,THREE_TIER_STANDARD,RAW_EXECUTION
SW_005007,SW_005007: MULTI_LO | 3Sl | NONE | DYNAMI | THREE_TI | REGIME,30.93,36.69,43.26,36.69,-38.41,43.36,45.84,47.72,1.28,0.77,27.33,63.3,MULTI_LOOKBACK_HYPER,3,NONE,DYNAMIC_ATR_1_5,THREE_TIER_STANDARD,REGIME_SHIELD_50
SW_005008,SW_005008: MULTI_LO | 3Sl | NONE | DYNAMI | THREE_TI | REGIME,32.28,38.17,44.73,38.17,-36.97,45.94,45.84,47.78,1.28,0.77,27.09,63.3,MULTI_LOOKBACK_HYPER,3,NONE,DYNAMIC_ATR_1_5,THREE_TIER_STANDARD,REGIME_SHIELD_AND_SWEEP
SW_005009,SW_005009: MULTI_LO | 3Sl | NONE | DYNAMI | THREE_TI | TIME_D,44.56,59.38,65.94,59.38,-43.46,64.56,64.31,48.77,1.45,0.88,25.36,61.9,MULTI_LOOKBACK_HYPER,3,NONE,DYNAMIC_ATR_1_5,THREE_TIER_STANDARD,TIME_DECAY_STOP_7D
SW_005010,SW_005010: MULTI_LO | 3Sl | NONE | DYNAMI | THREE_TI | COMPRE,44.64,48.99,55.55,48.99,-19.42,45.94,64.32,48.29,1.36,0.89,25.47,61.7,MULTI_LOOKBACK_HYPER,3,NONE,DYNAMIC_ATR_1_5,THREE_TIER_STANDARD,COMPREHENSIVE_FORTRESS
SW_005011,SW_005011: MULTI_LO | 3Sl | NONE | DYNAMI | THREE_TI | RAW_EX,41.08,50.85,57.42,50.85,-37.12,59.95,55.3,52.0,1.41,0.84,29.72,65.2,MULTI_LOOKBACK_HYPER,3,NONE,DYNAMIC_ATR_1_5,THREE_TIER_WIDE,RAW_EXECUTION
SW_005012,SW_005012: MULTI_LO | 3Sl | NONE | DYNAMI | THREE_TI | REGIME,29.77,27.82,34.38,27.82,-39.08,38.95,55.3,51.39,1.21,0.76,27.49,63.7,MULTI_LOOKBACK_HYPER,3,NONE,DYNAMIC_ATR_1_5,THREE_TIER_WIDE,REGIME_SHIELD_50
SW_005013,SW_005013: MULTI_LO | 3Sl | NONE | DYNAMI | THREE_TI | REGIME,31.1,29.24,35.8,29.24,-37.64,41.45,55.32,51.56,1.21,0.76,27.28,63.7,MULTI_LOOKBACK_HYPER,3,NONE,DYNAMIC_ATR_1_5,THREE_TIER_WIDE,REGIME_SHIELD_AND_SWEEP
SW_005014,SW_005014: MULTI_LO | 3Sl | NONE | DYNAMI | THREE_TI | TIME_D,45.69,62.16,68.73,62.16,-43.04,59.95,69.27,52.0,1.51,0.88,26.27,64.3,MULTI_LOOKBACK_HYPER,3,NONE,DYNAMIC_ATR_1_5,THREE_TIER_WIDE,TIME_DECAY_STOP_7D
SW_005015,SW_005015: MULTI_LO | 3Sl | NONE | DYNAMI | THREE_TI | COMPRE,41.96,37.13,43.69,37.13,-18.27,41.45,69.29,51.56,1.27,0.92,28.93,61.0,MULTI_LOOKBACK_HYPER,3,NONE,DYNAMIC_ATR_1_5,THREE_TIER_WIDE,COMPREHENSIVE_FORTRESS
