Preset,Horizon,Strategy_XIRR,Benchmark_XIRR,Alpha,Invested,Final_Value,Max_DD,Profit_Factor,Payoff_Ratio,Win_Rate
🌟 1000-Strategy Champion (SIP_0194),12M,45.95,-11.87,57.82,240000.0,293925.54,21.66,2.22,3.79,37.0
🌟 1000-Strategy Champion (SIP_0194),24M,36.1,-5.58,41.68,504000.0,696283.39,17.26,2.2,4.61,32.3
🌟 1000-Strategy Champion (SIP_0194),36M,23.53,-1.76,25.29,794400.0,1099347.03,17.17,1.83,4.47,29.0
🌟 1000-Strategy Champion (SIP_0194),60M,25.54,3.58,21.96,1465224.0,2627962.39,17.66,1.89,4.05,31.8
👑 Apex Alpha Champion,12M,51.63,-11.87,63.5,240000.0,300200.76,16.85,2.67,3.63,42.3
👑 Apex Alpha Champion,24M,71.76,-5.58,77.34,504000.0,907273.01,18.27,7.49,17.12,30.4
👑 Apex Alpha Champion,36M,48.37,-1.76,50.13,794400.0,1496536.55,29.3,4.16,9.19,31.2
👑 Apex Alpha Champion,60M,64.78,3.58,61.2,1465224.0,6057440.14,22.65,11.65,18.5,38.6
🏆 Centurion Wealth Engine,12M,51.63,-11.87,63.5,240000.0,300200.76,16.85,2.67,3.63,42.3
🏆 Centurion Wealth Engine,24M,71.78,-5.66,77.44,516000.0,923461.29,18.27,7.47,17.08,30.4
🏆 Centurion Wealth Engine,36M,48.89,-1.91,50.8,833400.0,1561334.56,28.86,4.22,9.31,31.2
🏆 Centurion Wealth Engine,60M,64.66,3.32,61.34,1618171.44,6396905.79,19.68,11.66,21.3,35.4
🛡️ Capital Preservation Fortress,12M,86.35,-11.87,98.22,240000.0,337165.23,12.05,6.56,6.56,50.0
🛡️ Capital Preservation Fortress,24M,54.61,-5.41,60.02,480000.0,772865.77,14.79,6.06,9.53,38.9
🛡️ Capital Preservation Fortress,36M,26.9,-1.47,28.37,720000.0,1056717.33,27.4,2.76,4.85,36.3
🛡️ Capital Preservation Fortress,60M,35.56,4.08,31.48,1200000.0,2842287.52,23.74,3.72,5.99,38.3
